Organization Name,Mission Statement,Website Link
The Sanctuary At Tuttle Crossing- AHF OHIO INC,The physical and emotional well-being of our residents will always be our first priority. Our staff is committed to making our communities a friendly and inviting environment for all residents who make us a part of their lives. We enhance the quality...,http://www.ahfohio.com/the-sanctuary-at-tuttle-crossing/
YWCA serving Lorain County,"YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.",http://www.elyriaywca.org
The National Neighborhood Initiative,"The Warren Neighborhood Initiative is a nonprofit, community development organization set to aid in the community development and revitalization of neighborhoods across northeast Ohio.",http://wnipride.org
Lake Erie Nature and Science Center,"Lake Erie Nature & Science Center educates and inspires each of us to understand, appreciate and take responsibility for our natural world.",http://www.lensc.org
CLEVELAND COUNCIL OF BLACK COLLEGES ALUMNI ASSOCIATION INC,"The Cleveland Council of Black Colleges Alumni Association is a consortium of local (Greater Cleveland, OH area) alumni and supporters of the public and private Historically Black Colleges and Universities. The primary purpose of the council is to: 1...",http://www.hbcualumnicle.com
The Glory Foundation INC,"A child’s cry a parent’s plea; the Glory Foundation’s mission is to provide physical, emotional, and spiritual care for children with life-limiting illnesses comforting them and their families on their journey.",http://Tgfrespite.org
Clark County Park District,"The Clark County Park District seeks to preserve the natural beauty of our parks, as well as our history through active stewardship efforts from our local Springfield community and beyond.",http://www.clarkcountyparks.org
Countryside,"The purpose of Countryside is to connect people, food, and land by inspiring, educating, and promoting a resilient, sustainable food culture. We are a leading expert and innovator in community-based farming and conservation programs working through a...",http://www.cvcountryside.org
Give Back Cincinnati,Give Back Cincinnati is a nonprofit organization focused on enhancing Cincinnatiâ s communties through activities of volunteerism while fostering the development of young leadership through participation.,http://www.givebackcincinnati.org
The Salvation Army Painesville,"The Salvation Army Mission Statement The Salvation Army, an international movement, is an evangelical part of the universal Christian church. Its message is based on the Bible. Its ministry is motivated by the love of God. Its mission is to preach th...",n/a
Friars Club Inc.,"Thr Friars Club, a Catholic ministry, embracing Franciscan values of community and concern for the poor, bridges the social resource gap faced by at-risk boys and girls through youth sports, educational and enrichment programs to help them develop pe...",http://www.friarsclubince.org
Habitat for Humanity of Mahoning Valley,"Seeking to put God’s love into action, Habitat for Humanity brings people together to build homes, communities and hope.",https://www.habitatmahoning.org/
Bethany United Church of Christ,"Bethany Church was founded in 1917 with this mission: to establish a Christian congregation for worship, to preach and teach the gospel of Jesus Christ, to celebrate the sacraments, to render loving service toward humanity, to strive for righteousnes...",http://www.bethanyucc.org
PASS THE CLASS,"Pass the Class provides tutoring and career advice for underprivileged and homeless youth (ages 11-24). Tutors meet with youth to help them study, apply for college, create resumes, stay organized, and find jobs. We believe that everyone deserves a f...",http://passstheclass.org
"Oxford Senior Citizens, Inc.","The purpose of this organization is to provide health and social services, education, and inspirational programs for the senior citizens of our community.",http://www.oxfordsenior.org
Miami County Board of Developmental Disabilities (Riverside),"To empower people with developmental disabilities to live, work and play as full members of our community.",http://www.riversidedd.org
A ONE CARE GIVING HANDS INC,"A One Care Giving Hands is excited about taking a leadership role in the adult developmental disabilities care and home services market, along with higher learning, community interaction and promoting cultural diversity. A One Care Giving Hands focus...",http://N/a
CHILDRENS TOY AND DOLL MUSEUM,"The Children's Toy and Doll Museum preserves playthings that have served to teach, amuse, and expand the imagination of children locally and throughout the greater world at large.",http://No website
Corporation for Findlay Market,"Findlay Market - operated continuously in the same iron-framed building since 1855 - is not just another historic monument. It is an essential institution to life in 21st century Cincinnati. Linking Uptown with downtown, Findlay Market is a vibrant l...",http://www.findlaymarket.org
GLSEN Central Ohio,"GLSEN strives to ensure that each member of every school community is valued and respected regardless of sexual orientation, gender identity, and/or expression. We believe that such an atmosphere engenders a positive sense of self, which is the basis...",https://www.glsen.org/chapters/columbus
blad talent agency/ba associates,"Our Mission is being part of the village that helps raises children"". Making entertainment dreams a reality. providing a source through non-profit status to assist. BLAD is consistent with its mission and strategic goals.",http://www.bladtalent.com
Connor B Judge Foundation,"We aim to promote awareness and research funding for neuromyelitis optica (NMO), an autoimmune disease of the central nervous system, which can help unlock the cure to other autoimmune diseases.",http://connorbjudgefoundation.org
Columbus UNICEF,"The U.S. Fund for UNICEF supports child survival, protection, and development worldwide through education, advocacy, and fundraising.",http://unicefusa.org
"Lincoln Heights Outreach, Inc.","Lincoln Heights Outreach Incorporated (LHOI) is a nonprofit 501(c)3 organization located in the historic Village of Lincoln Heights and serving Lincoln Heights and surrounding communities. Established in 2012, we are committed to moving families towa...",http://www.lincolnheightsoutreach.org
American Heart Association,"Nearly everyone has been touched by a friend, co-worker, family member or child who has been affected by heart disease or stroke. As the nation's first and third leading causes of death, these conditions can have a lasting and often devastating effec...",https://www.heart.org/en/affiliates/ohio/toledo
UBUNTU CULTIVATORS,"Enhancing lives through environmental engagement opportunities within Cleveland, Ohio.",http://ubuntucultivators.org
STANDING ROCK CULTURAL ARTS,Our mission is to build community through the arts and to nourish the spirit of creativity by providing art and educational activities that allow children and the general public to explore the arts.,http://Standingrock.net
"HBCU Foundation, Inc.","The HBCU Foundation is a Federally-recognized 501(c)(3) organization, whose aim is to provide much needed support to deserving students attending our nation's 105 Historically Black Colleges and Universities.",http://www.thehbcufoundation.org
UNITED WAY OF GREATER LORAIN COUNTY,"We are a catalyst for measurable community transformation, leading to a better life for all through collective impact in education, financial stability and health.",n/a
Legacies Upscale Resale,"To provide financial support for Cancer Support Community by working as a team to create a positive resale experience for our customers, consignors, and volunteers.",n/a
CLIFTONDEERORG,"Here in the historic neighborhood of Clifton, we love our deer and don’t want to harm them . . . we just wish there weren’t so many of them. Deer overabundance contributes to serious problems, including damage to the forest understory tha...",http://cliftondeer.org/
NAMI OF LORAIN COUNTY,"The mission of NAMI Lorain County is to improve the quality of life for consumers living with disabling brain disorders/mental illness through providing their families and friends with educational opportunities, support groups, and advocacy in the pu...",http://www.nami-lc.org
Guiding Eyes for the Blind Cuyahoga Puppy Raising Region,"Guiding Eyes for the Blind (GEB) Cuyahoga Puppy Raising Region is dedicated to enriching the lives of individuals who are blind or visually impaired through the assistance of specially bred, professionally trained guide dogs. GEB dogs facilitate safe...",http://www.guidingeyes.org
HARMONY PROJECT,n/a,n/a
Findlay Digital Academy,To help people that need the help.,http://findlaydigitalacademy.com/
Chalmers P. Wylie Veterans Ambulatory Care Center,"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans.",https://www.columbus.va.gov/giving/index.asp
Ohio River Foundation,To protect and restore the water quality and ecology of the Ohio River and all water in its watershed for the health and enjoyment of present and future generations.,http://www.ohioriverfdn.org
CLEVELAND GRAYS,"The Cleveland Grays strive to preserve their historic Armory Museum, advance the military heritage of Greater Cleveland through public awareness and education programs, and support the men and women of the American armed forces.",http://graysarmory.com
YOUNG MENS CHRISTIAN ASSOCIATION OF JACKSON AREA,"To put Christian principles into practice through programs that help healthy spirit, mind and body for all.",n/a
One Health Organization,"The mission of One Health Organization is to develop, sustain, and nurture healthy bonds between vulnerable populations and animals living together initially by increasing the numbers of dogs and cats owned by older adults and the disabled that recei...",https://onehealth.org/
Elderly Persons in Community,"The mission of EPIC is to provide housing facilities and services to income eligible, functionally impaired, elderly persons in the Greater Cincinnati area in a shared housing project designed to meet the physical, psychological, recreational and soc...",http://elderlypersonsincommunity.com
OPERATION CLEAN MACHINE,"2.1 Mission Statement Our soldiers, sailors, coasties, fly boys and marines, once young patriots, need your help now. They have no one to clean their wheelchairs or scooters. Their loved ones or caregivers are overburdened! There is no place for them...",http://www.OperationCleanMachine.ngo
Blue Manatee Literacy Project,"To empower every young reader with the skills, resources and inspiration to succeed.",http://www.bluemanatee.org
LOVIS FOUNDATION,"The Lovis Foundation honors the life of a charismatic, faith-driven uniter of hearts named Logan Brinson. During his 19 years on this earth, Logan’s joyous spirit had a positive impact on everyone he met. Our mission is to continue his legacy b...",http://lovisfoundation.org
After-School All-Stars Ohio,"After-School All-Stars Ohio provides free, comprehensive after-school programs that keep children safe and help them succeed in school and in life. After-School All-Stars Ohio serves under-resourced students in Columbus, Dayton, and Toledo. Its compr...",http://www.asasohio.org
HOPE OVER HEROIN INC,"Hope Over Heroin is a collaborative faith-based ministry believing in and witnessing the power of the Gospel of Jesus Christ to change lives. While we are a faith-based organization, we recognize the importance of every resource that makes up a commu...",http://www.hopeoverheroin.com
Holzer Hospice,To provide holistic care to terminally ill clients.,http://holzer.org
American Cancer Society-Discovery Shop,"The American Cancer Society is a global grassroots force of nearly 2 million volunteers dedicated to saving lives, celebrating lives, and leading the fight for a world without cancer. From breakthrough research, to free lodging near treatment, a 24/7...",https://www.facebook.com/American-Cancer-Society-Discovery-Shop-Akron-178112202230184/?ref=bookmarks
Euclid Hunger Center,"The Euclid Hunger Center is dedicated to offering a positive, compassionate environment to provide food assistance to eligable Euclid residents.",http://euclidhungercenter.com
The First Tee of Central Ohio,"The mission of The First Tee Central Ohio is to impact the lives of young people by providing educational programs that build character, instill life enhancing values, and promote healthy choices through the game of golf.",http://www.thefirstteecentralohio.org
HEALING SPACE OF CINCINNATI INC,"We are a faith-based ministry founded on the belief that health, like faith, is a lifelong journey for all people. We offer holistic healing services that empower transformative opportunities for individuals, groups, the community and holistic healer...",https://thehealingspacecincinnati.org/
OTR ADOPT INC,To bring to life the character of Cincinnati’s historic neighborhoods by facilitating the transfer of vacant endangered structures to caring investors.,http://otradopt.com
Kirtland Temple Historic Site,"It is our Mission to Preserve the Kirtland Temple--the first Latter Day Saint Temple built in 1836, which today is a National Historic Landmark--and to Share the story of the 1830s community that built it with over 30,000 visitors each year.",http://www.kirtlandtemple.org
GARDENVIEW HORTICULTURAL PARK INC,"Our mission is the development, evolution and maintenance of gardens made up of rare plants and flowers which provide enjoyment, education and inspiration. At Gardenview, enjoy a natural, cottage-style landscape that appears to have happened by itsel...",https://www.gardenviewhp.org/
Cypress Hospice,"At Cypress Hospice, we believe every individual should Celebrate Life's Journey with tranquility, freedom of choice and dignity. You are not alone. Your journey is our journey too, because every day of life is a day worth living.",http://Www.cypresshospice.com
Delaware Juvenile Court Mentoring Programs,Delaware County Juvenile Court Mentoring Programs aspire to shift youth away from the justice system by supporting the education of life skills and building positive relationships with the support of community role models.,https://juvenile.co.delaware.oh.us/programs/mentoring/
UPPER ARLINGTON COMMISSION ON AGING,"The Upper Arlington Commission on Aging serves as the informed voice to empower, educate and enrich the lives of older adults in Upper Arlington.",http://www.uacoa.com
FLAMING RIVER ARTS,"Our mission is to foster, showcase, and celebrate LGBTQIA+ voices in the community, and combat bigotry by increasing the visibility of queer and marginalized persons within the geek community.",n/a
CREATIVE BUILDERS TRADES ACADEMY,"CBTA is a non-profit trades and vocational training organization that provides disadvantaged individuals over 18 with employability skills through hands on, books, and online learning in construction trades preparation leading to pre-apprenticeships ...",https://dwightstones42.wixsite.com/website
Children's Theatre Workshop,"""CTW offers an inclusive environment for young people of all backgrounds, cultures, and lifestyles where they have the opportunity to study many aspects of theatre arts, develop valuable life skills, and produce quality plays.""",http://www.ctwtoledo.org
Autism Society Greater Cincinnati,Mission: Improving the lives of all affected by autism,http://www.autismcincy.org/
EMPLOYMENT COLLABORATIVE,"The ECCC’s (Employment Collaborative of Cuyahoga County) mission is to offer access to an untapped workforce through collaboration, inclusion and equality.",https://www.employmentcollaborative.com/
"J R COLEMAN FAMILY SERVICES CORP, dba JRC Learning Center","The mission of JRC is to enrich lives through Educating children, Engaging seniors and Strengthening community.",http://www.JRCcares.org
Peggy R. McConnell Arts Center,Changing lives and making memories through creative arts experiences.,http://www.mcconnellarts.org/
"Kettering Holiday at Home Foundation, Inc.","A fun, non-profit foundation that supports the South Dayton (Ohio) community Celebrating The Labor Day Weekend Since 1959.",http://www.holidayathome.org/current_xcomm.html
Sweet Cheeks Diaper Bank,Sweet Cheeks Diaper Bank partners with local social service agencies to provide free diapers to low-income families while raising awareness of the basic health need for diapers. Our mission is to eliminate the existence of diaper need in our communit...,http://www.sweetcheeksdiaperbanks.org
Mercy Health,"As the largest nonprofit healthcare system in Ohio, Mercy Health has a mission to serve the entire community, especially the poor and underserved.",http://www.mercy.com
RISE IN LOVE,"A center for all in need to provide immediate resources for individuals and families, as well as assisting in developing the capability to help them rise above their suffering.",http://www.riseinlovecenter.org
Family Service of Middletown,"The mission of Family Service of Middletown is to serve our community by providing emergency assistance to individuals and families in need with food, essential non-food items, temporary financial assistance, job readiness and crisis counseling. We s...",http://www.fsmiddletown.org/
State Avenue United Methodist Church,State Avenue UMC is a 110 year old church that serves the spiritual and physical needs of the Lower Price Hill community. Lower Price Hill is one of the most economically depressed areas in Cincinnati.,n/a
SAINT LUKES FOUNDATION OF CLEVELAND OHIO,Achieve health equity by addressing social determinants of health for people in neighborhoods surrounding Saint Luke’s and throughout Cuyahoga County.,http://www.saintlukesfoundation.org
Cincinnati Parks - Explore Nature!,"Conserving, managing, sustaining, and enhancing parks' natural and cultural resources and public greenspaces--for the enjoyment, enlightenment, and enrichment of the Cincinnati community.",http://cincinnatiparks.com
CLEVELAND OPERA THEATER,"Build a sustainable, professional, outstanding Opera Company for Northeast Ohio championing Opera For All.",http://clevelandoperatheater.org
Avondale Senior Village,The Mission of National Church Residences is to provide quality housing and care at affordable prices in communities of caring persons.,http://www.nationalchurchresidences.org
SECOND WARD COMMUNITY INITIATIVE INC,our mission is to enhance the quality of life of our local citizens and surrounding community of Delaware.,http://www.swcidelaware.org/
Green Columbus,"Green Columbus is dedicated to promoting sustainable living in central Ohio by providing meaningful forums, raising awareness and encouraging local action. Working with community leaders, non-profits and businesses, we organize the largest Earth Day ...",http://www.greencbus.org
MARY MAGDALEN FOUNDATION INC,"We refresh and renew our guests in body and spirit from the hardships of living on the streets, in order to maintain and help restore the human dignity of all those we serve. Each of our guests leaves feeling better, knowing that ""it is truly good fo...",https://www.marymagdalenhouse.org/
Stiles Elementary School,"We believe... Our students will be treated with respect. Our students will feel cared for, cared about and proud of what they accomplish. Our students will be taught according to their capabilities and learning styles. Our students will have positive...",http://www.swcsd.us/
GARFIELD HTS SENIOR CITIZENS SITE COUNCIL,"The mission of the Garfield Heights Senior Center is to promote information and a range of services, activities and volunteer opportunities, which promote personal growth, health, friendship and independence for older persons.",n/a
SCORE Greater Cincinnati,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://greatercincinnati.score.org/become-score-volunteer-9
OASIS AGRICUTURAL LEARNING CENTER,"The Oasis Agricultural Learning Center was created to provide a hands-on, community event facility for the youth in our community to learn about the science, business, technology of farming and the horticultural, nursery and landscape industries. As ...",n/a
SCORE Cleveland,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://cleveland.score.org/
HELPING HANDS HEALTH AND WELLNESSCENTER,"The mission of the Helping Hands Health and Wellness Center is to be the caring hands of Jesus to provide medical care, health education, counseling and social services to those with needs.",https://www.helpinghandsfreeclinic.org/
Our Daily Bread - Soup Kitchen and Social Center,"OUR VISION Every person in the Greater Cincinnati community has sufficient access to food, essential social services and a safe place of belonging. OUR MISSION To provide stability and hope to guests in need by offering meals, hospitality and service...",http://www.ourdailybread.us
HEALTHY KIDS RUNNING SERIES Cleveland,"Healthy Kids Running Series is a national, community-based non-profit that provides a fun, inclusive five-week running series for ages 2-14, designed for kids to get active, feel accomplished and lay the foundation for a healthy lifestyle.",https://healthykidsrunningseries.org/race-locations/cleveland-oh/
Ohio Youth Development,Ohio Youth Development's mission to empower youth to thrive in childhood and adulthood by providing youth with program opportunities that teaches effective problem-solving and healthy-lifestyles skill-sets in a safe and supportive community youth ser...,https://ohioyouthdevelopment.org
NEIGHBORHOOD SERVICES INC,"We feed the Columbus, Ohio community with kindness and respect. Since 1965, Neighborhood Services, Inc. has helped our neighbors to put healthy meals on tables.",https://www.neighborhoodservicesinc.org/
Westerville Library Foundation,Ensuring the long-term financial stability of the Westerville Public Library through endowment management and fundraising.,http://www.westervillelibraryfoundation.org
WORKSHOPS INC,To challenge status quo. To foster unexpected growth. To establish a legacy of compassion. Together.,https://choosetwi.com/
Centerville-Washington Park District,"Provide quality parks, outdoor education, and recreation while preserving open space.",http://www.cwpd.org
Crossroads Hospice,"Crossroads Hospice has a dedicated team of volunteers who strive to provide extra love and comfort to terminally ill patients and their families. Volunteers donate time for direct patient care through, ""Gift of a Day,"" pet companionship,""Gift of Grat...",http://crosssroadshospice.com
"Youngstown Area Goodwill Industries, Inc.","Youngstown Area Goodwill Industries will actively strive to achieve the full participation in society of people with disabilities and other individuals with special needs by expanding their opportunities, occupational capabilities, and personal indep...",http://www.goodwillyoungstown.org/
CIVIL AIR PATROL,"Supporting America's communities with emergency response, diverse aviation and ground services, youth development and promotion of air, space and cyber power.",n/a
KENNEDY HEIGHTS DEVELOPMENT CORPORATION,"Rooted in a history of welcoming all people, Kennedy Heights Development Corporation is dedicated to growing a neighborhood where residents, businesses and community thrive.",http://kennedyheightsdc.org
DOWN SYNDROME ASSOCIATION OF CENTRAL OHIO,"The Down Syndrome Association of Central Ohio's mission is to support families, promote community involvement, and encourage a lifetime of opportunities for people with Down syndrome.",http://www.dsaco.net
Brecksville United Methodist Church,"From Brecksville United Methodist Church We strive to live by these words, spoken by John Wesley: ""Whoever you are; in whatever faith you were born, whatever creed you profess, if you come to this house to find God, you are welcome."" At Brecksville U...",http://www.brecksvilleumc.com/
University Circle Inc.,"University Circle Inc. (UCI) is the development, service, and advocacy organization responsible for the growth of University Circle as a premier urban district and world-class center of innovation in health care, education, and arts and culture.",http://www.universitycircle.org
Columbus Children's Choir,Artistic Excellence through Education and Performance,n/a
St. Aloysius,"St. Aloysius helps the children and families in our community overcome their challenges by providing the education, counseling, mental health care, and resources they need to heal and grow.",https://www.stalschildren.org/
Special Olympics Toledo Public,To provide year-round sports training and athletic competition in a variety of sports for students in the Greater Toledo Area who have intellectual disabilities. Also have Unified sports which is those students without IEPs training and competing as ...,http://www.specialolympicstoledopublic.rocks
Tri-State Bleeding Disorder Foundation,The Tri-State Bleeding Disorder Foundation is committed to helping support and care for those individuals within our community affected by a Bleeding Disorder. Our goal is to help those individuals realize their full potential. We shall do this by ed...,http://www.tsbdf.com
GRACE REFUGE OUTREACH WORLDWIDE G R O W,"To rescue at-risk children and youth by supporting, educating, and providing them with a safe place to live, grow, and learn about Christ.",http://grow-worldwide.com/
Long Term Care Ombudsman,Long Term Care Ombudsman advocates for excellence in long-term services and supports wherever consumers live.,http://www.ltco.org
SCORE East Central Ohio,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://eastcentralohio.score.org/
The ALS Association Central & Southern Ohio Chapter,"To lead the fight to cure and treat ALS through global, cutting-edge research, and to empower people with Lou Gehrig's Disease and their families to live fuller lives by providing them with compassionate care and support.",http://www.walktodefeatals.org
Women Helping Women,"Women Helping Women empowers survivors of sexual assault, domestic violence and stalking by providing advocacy, support and options for safety and educates the community to create social change.",http://www.womenhelpingwomen.org
"I AM BOUNDLESS, INC.",Building a world that realizes the boundless potential of all people.,https://iamboundless.org/
SCORE Canton,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://canton.score.org/
SCORE North Central Ohio,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://northcentralohio.score.org/
SCORE Dayton,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://dayton.score.org
SCORE Youngstown,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://youngstown.score.org
SCORE Akron,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://akron.score.org/
Angel's Rest Animal Society,"Angel’s Rest’s mission is to provide solutions to the immediate needs of unwanted animals who have no place to go other than a kill-shelter to face euthanization, die alone in the streets or die abandoned at the end of a chain. Our goal i...",http://www.angels-rest.org
SCORE Columbus,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://columbusoh.score.org/
Newbridge Place,"To provide individualized, supportive care and recovery, and promote a passage to a better quality of life for people suffering from mental illness.",http://www.newbridgeplace.org/
SCORE Northwest Ohio,"SCORE, a 501(c)(3) nonprofit organization, is dedicated to helping small businesses get off the ground, grow and achieve their goals through education and mentoring. Our mission is to foster vibrant small business communities through mentoring and ed...",https://northwestohio.score.org/
ReInventing The Cycle,"The mission of ReInventing the Cycle, a 501 (c)(3) tax deductible nonprofit organization, is to provide educational programs that will empower people to break dysfunctional life cycles and then reinvent positive, healthy ones. We are getting ready to...",http://www.ReInventingTheCycle.org
A Step in the Right Direction,We aim to help individuals that are working to re-enter their community and the workforce.,https://www.a-step-inthe-right-direction.com/
LEARNING 4 LIFE FARM,Our mission is to provide quality training for young adults on the Autism Spectrum and provide meaningful employment in the community upon completion of training.,http://www.learning4lifefarm.com
